${24GHz_Channel};${ChannelID_index};${24GHz_Bandwidth};${24GHz_BandwidthValue}
0;1;1;20 MHz
1;2;1;20 MHz
2;3;1;20 MHz
3;4;1;20 MHz
4;5;1;20 MHz
5;6;1;20 MHz
6;7;1;20 MHz
7;8;1;20 MHz
8;9;1;20 MHz
9;10;1;20 MHz
10;11;1;20 MHz
11;12;1;20 MHz
12;13;1;20 MHz
13;14;1;20 MHz
0;1;2;20/40 MHz
1;2;2;20/40 MHz
2;3;2;20/40 MHz
3;4;2;20/40 MHz 
4;5;2;20/40 MHz 
5;6;2;20/40 MHz 
6;7;2;20/40 MHz 
7;8;2;20/40 MHz 
8;9;2;20/40 MHz 
9;10;2;20/40 MHz
10;11;2;20/40 MHz
11;12;2;20/40 MHz
12;13;2;20/40 MHz
13;14;2;20/40 MHz
